Name,Weeks,Gender
Steffi Graf,377,Female
Martina Navratilova,332,Female
Serena Williams,319,Female
Roger Federer,308,Male
Pete Sampras,286,Male
Ivan Lendl,270,Male
Jimmy Connors,268,Male
Chris Evert,260,Female
Novak Djokovic,223,Male
Martina Hingis,209,Female
Monica Seles,178,Female
John McEnroe,170,Male
Rafael Nadal,167,Male
Justine Henin,117,Female
Björn Borg,109,Male
Andre Agassi,101,Male
Lindsay Davenport,98,Female
Lleyton Hewitt,80,Male
Stefan Edberg,72,Male
Caroline Wozniacki,71,Female
Jim Courier,58,Male
Victoria Azarenka,51,Female
Gustavo Kuerten,43,Male
Andy Murray,41,Male
Ilie Nastase,40,Male
Amélie Mauresmo,39,Female
Angelique Kerber,34,Female
Dinara Safina,26,Female
Tracy Austin,21,Female
Simona Halep,21,Female
Maria Sharapova,21,Female
Mats Wilander,20,Male
Kim Clijsters,20,Female
Jelena Janković,18,Female
Jennifer Capriati,17,Female
Andy Roddickc,13,Male
Ana Ivanovic,12,Female
Boris Becker,12,Male
Arantxa Sánchez Vicario,12,Female
Venus Williams,11,Female
Marat Safin,9,Male
John Newcombe,8,Male
Juan Carlos Ferrero,8,Male
Karolína Plíšková,8,Female
Yevgeny Kafelnikov,6,Male
Marcelo Ríos,6,Male
Thomas Muster,6,Male
Garbiñe Muguruza,4,Female
Evonne Goolagong Cawley,2,Female
Carlos Moya,2,Male
Patrick Rafter,1,Male